Данные из телефонного справочника в файле phonebook.scv!

№,Фамилия,Имя,Номер телефона,Описание
1:['Ржевская', 'Юлия', '11111', 'студент']
2:['Васильева', 'Валерия', '22222', 'студент']
3:['Уймина', 'Надежда', '33333', 'студент']


Данные из телефонного справочника в файле phonebook.txt!

№ 1
Фамилия: Ржевская
Имя: Юлия
Номер телефона: 11111
Описание: студент

№ 2
Фамилия: Васильева
Имя: Валерия
Номер телефона: 22222
Описание: студент

№ 3
Фамилия: Уймина
Имя: Надежда
Номер телефона: 33333
Описание: студент

